Recording ID,Recording Name,Recording Time/Date,# of Plays,Recording Link,Keep?
88986992,New Health Matters Premium Bundle Demo - TAKE 2-20171031 1332-1,10/31/2017 13:32,5,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=b36286bd2e614498a09ddb200dc3053f,YES
88721202,New Health Matters Premium Bundle Demo-20171005 1303-1,10/5/2017 13:03,2,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=8ff3bc07e6cb402292033fed4a8b3b2e,YES
88686922,ROUND TWO - PC 2.0 Integrated Testing - Planning Session-20171002 2004-1,10/2/2017 20:04,1,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=1fb42ee3180c4315bde150997b2b5851,YES
88212102,Review data fields & Demo ViewRx-20170816 1602-1,8/16/2017 16:02,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=0ae6d8fa650e473aa45498fd09f2fb56,YES
88023727,MME Working Session - Review the delivery from FJA (JAR/WAR File delivery)-20170728 1604-1,7/28/2017 16:04,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=4b756b16516b4e3e807eed953a96349f,YES
87870877,Review Working version of PC 2.0 and three addt'l topics-20170714 1604-1,7/14/2017 16:04,4,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=de7deca530624aee951947fac90374ed,YES
87391937,Kick off Mtg to Scope for Medical Management SOW-20170531 1330-1,5/31/2017 13:30,1,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=26180e1ba9e84416917a582a48df7943,YES
86724602,Packaging Overview & Impact Assessment Level Set-20170331 1703-1,3/31/2017 17:03,4,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=daecad6a790b46bd9e907db8a47e9d1a,YES
86583977,EPO Team Meeting - 3.21.2017-20170321 1808-1,3/21/2017 18:08,1,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=cabb87dbfde64807be8af54dfc9b5fa5,YES
86168342,EPO Team meeting 2/14-20170214 1905-1,2/14/2017 19:05,4,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=496cce78dfd1488188f3d0211a3ceee6,YES
85203602,Product Hierarchy - Level Set-20161111 1502-1,11/11/2016 15:02,1,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=76d4ce237042425f836ca61537910489,YES
84454867,PI4 / Sprint 3 Demo (EPO QA Team)-20160923 1603-1,9/23/2016 16:03,1,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=63b93dc52be5cd55203c576e3864ca21,YES
84207087,PI4 / Sprint 2 Demo (EPO QA Team)-20160908 1602-1,9/8/2016 16:02,1,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=23ce54c365438bccc39c25ee4b9543af,YES
84015542,PI4 / Sprint 1 Demo (EPO QA Team)-20160825 1603-1,8/25/2016 16:03,5,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=aa289df1d6804dd986db8a9209c3c17e,YES
83810432,PI3 / Sprint 5 Demo (EPO QA Team)-20160811 1502-1,8/11/2016 15:02,2,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=cf38afd381a38a4643aa0d31bd0b86c7,YES
83606677,PI3 / Sprint 4 Demo (EPO QA Team)-20160728 1601-1,7/28/2016 16:01,5,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=d916e6e368814d49bccf82dd0b268298,YES
83396842,PI3 / Sprint 3 Demo (EPO Product Modeling Scrum Team)-20160714 1801-1,7/14/2016 18:01,9,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=70d1645dbaff6cd45a6a8ce1222ec8d4,YES
83285347,PC/GC Refinement Mtg-20160707 1503-1,7/7/2016 15:03,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=06a44a9eadc62d06608a7d694bfc607e,YES
83225442,PI3 / Sprint 2 Demo (EPO QA Team)-20160701 1602-1,7/1/2016 16:02,4,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=11295eb04d38415a977b0da5633ac787,YES
83113122,PC/GC Refinement-20160624 1432-1,6/24/2016 14:32,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=755d121025a8490db0f5e48eb057c713,YES
83091787,GC Functional Spec Review with FJA-20160623 1435-1,6/23/2016 14:35,2,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=41fc94043d874b488f72de02dbe456f2,YES
83004337,PI3 / Sprint 1 Demo (EPO Product Modeling Scrum Team)-20160617 1702-1,6/17/2016 17:02,4,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=bdcd6cb704924bc8a226cc3ccf6aac5f,YES
82625932,JAD Session - Global Accum Solution-20160525 1302-1,5/25/2016 13:02,2,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=0ca08a2241444207a21cf321f25ca197,YES
82603847,EPO Product Modeling Sprint 4 Demo-20160524 1602-1,5/24/2016 16:02,12,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=472a122424c94dba9a5fe5eecd7c26a3,YES
82583662,UPP Integrated Delivery Team PI3 Prep-20160523 1416-1,5/23/2016 14:16,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=62694378d1714398a9d7ab92b00bba9d,YES
82298677,Review the Utilization Buckets & validate that they are all mappable to Accumulators-20160506 1308-1,5/6/2016 13:08,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=1b05e91f3f279c6d88ae3d9e3845064c,YES
82296422,Overview / walkthrough w/VBS Flex Ben progress on Accum solution-20160506 1206-1,5/6/2016 12:06,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=ec1876292f61409b858cc0a218ca56b6,YES
82290257,Working Session(s) to finalize the ?long descriptions-20160505 1904-1,5/5/2016 19:04,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=a5fe0047ef014e76bfb4fecba3601e23,YES
82278907,PC/GC Storyboard Session #9-20160505 1436-1,5/5/2016 14:36,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=d1b1a8fbaadbccc82610cce72dac7170,YES
82265942,Working Session(s) to finalize the ?long descriptions-20160504 1909-1,5/4/2016 19:09,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=ca028931f323465fab0515a8ae5ed83b,YES
82255572,UPP Operating Committee-20160504 1602-1,5/4/2016 16:02,4,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=50688aeba40d48c3966666a29a027774,YES
82223477,Overview / walkthrough w/VBS Flex Ben progress on Accum solution-20160503 1308-1,5/3/2016 13:08,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=a92ebf99b7e7b4ab66a38ada18e53f8a,YES
82194122,PC/GC Storyboard Session #7-20160429 1803-1,4/29/2016 18:03,0,https://cignavirtual.webex.com/cignavirtual/lsr.php?RCID=d324af68b4d7119e30849f6ec61b8fc6,YES
